region_name,major_division,,
IOpr,MY,,
PYR or LVIII,CB,,
LRNm,MY,,
LRNp,MY,,
PSV,P,,
ACVI,P,,
SPVC,MY,,
SPVO,MY,,
SPVI,MY,,
GR,MY,,
OP,MB,,
NOT,MB,,
FF,TH,,
PRNr,P,,
PRNc,P,,
PMR,MY,,
ND,MB,,
INC,MB,,
III,MB,,
IV,MB,,
SUV,P,,
VI,P,,
MV,MY,,
PRP,MY,,
NR,MY,,
RM,P,,
FN,CB,,
PGRNd,MY,,
PAS,MY,,
LAV,P,,
"CENT or LII,III",CB,,
LING or LI,CB,,
IOda,MY,,
ICB,P,,
FOTU or LVII,CB,,
DEC or LVI,CB,,
"CUL or LIV,V",CB,,
INV,MY,,
IOma,MY,,
X,MY,,
Y,P,,
UVU or LIX,CB,,
FL,CB,,
NOD or LX,CB,,
ACU,MY,,
IFV,MY,,
NPC,MB,,
MAN,MB,,
EW,MB,,
RN,MB,,
TRN,P,,
PON,P,,
DNm,CB,,
DNp,CB,,
ANcr1,CB,,
ANcr2,CB,,
PFL,CB,,
PRM,CB,,
IP,CB,,
COPY,CB,,
SIM,CB,,
IOpr,MY,,
PYR or LVIII,CB,,
LRNp,MY,,
LRNm,MY,,
PSV,P,,
ACVI,P,,
SPVC,MY,,
SPVO,MY,,
SPVI,MY,,
GR,MY,,
RL,MB,,
MEV,MB,,
SLD,P,,
Vpc,P,,
SUT,P,,
Vma,P,,
KF,P,,
SLC,P,,
MARN,MY,,
GRN,MY,,
Z,MY,,
XII,MY,,
VII,MY,,
PAT,MY,,
MDRNd,MY,,
SSN,MY,,
MDRNv,MY,,
ACVII,MY,,
NTSmr,MY,,
PARN,MY,,
ISN,MY,,
NTSl,MY,,
AMBd,MY,,
AMBv,MY,,
RPGRN,MY,,
PGRNl,MY,,
RTRN,MY,,
RPA,MY,,
IAN,MY,,
NTSco,MY,,
RL,MB,,
MEV,MB,,
SLD,P,,
Vpc,P,,
SUT,P,,
Vma,P,,
KF,P,,
SLC,P,,
MARN,MY,,
GRN,MY,,
Z,MY,,
XII,MY,,
VII,MY,,
